"Story","Title","Result","Date","Stability","Duration (s)"
"Recruitment management in candidate module","Add a new candidate and verify through notification","SUCCESS","2025-01-04T04:36:22.716355002Z[Etc/UTC]","0.0","11.61"
"Recruitment management in candidate module","search an added candidate from the recruitment page saved without consent","SUCCESS","2025-01-04T04:36:34.419625995Z[Etc/UTC]","0.0","13.22"
